1|City Lights Tour|1|Explore the nightlife of San Francisco and see the city from a different perspective.|English|15|1,2|1,5|False|1|https://media.timeout.com/images/102029523/750/422/image.jpg|6|False
2|Miami Beach Art Deco Tour|2|Discover the iconic Art Deco architecture of Miami Beach and learn about the history of the city.|Spanish|20|3|2|False|2|https://inhabit.corcoran.com/wp-content/uploads/2023/02/artdeco5-900x612.jpg|6|False
3|Grand Canyon Adventure Tour|3|Experience the breathtaking views of the Grand Canyon on this adventurous hiking tour.|English|10|4|8|False|3|https://www.gannett-cdn.com/-mm-/cad4b6ae10a905b490e8d5ff3b3004920aa24dab/c=0-0-3883-2194/local/-/media/2015/07/13/USATODAY/USATODAY/635723787351684711-NP-Grand-Canyon4.jpg?width=660&height=373&fit=crop&format=pjpg&auto=webp|6|False
4|Napa Valley Wine Tour|4|Visit some of the best wineries in Napa Valley and taste a variety of wines.|English|8|5|6|False|4|https://www.winemag.com/wp-content/uploads/2017/05/Napa_Valley_Vineyard-700x461.jpg|6|False
5|Austin BBQ Tour|5|Sample some of the best BBQ in Austin and learn about the city's food culture.|English|12|6|4|False|5|https://3.bp.blogspot.com/-2jebMnfv0p4/VoxdV0ZJitI/AAAAAAAAU1k/zpj8BhS_Kz0/s640/austin9.jpg|6|False
6|New York City Food Tour|6|Taste a variety of foods from different cultures and neighborhoods in New York City.|English|20|7|3|False|6|https://www.fodors.com/wp-content/uploads/2019/06/WhatToEatAndDrinkInNYC__HERO_Marta_%C2%A9Peter-Garritano.jpg|6|False
7|Paris Fashion Tour|7|Discover the fashion scene of Paris and visit some of the most iconic fashion houses in the city.|French|6|8|4|False|7|https://pariscityfw.com/wp-content/uploads/2019/02/Fashion-Show-At-Eiffel-1.jpg|6|False
8|Tokyo Sushi Tour|8|Learn about the art of sushi making and taste some of the best sushi in Tokyo.|Japanese|10|4,10|5|False|8|https://hips.hearstapps.com/hmg-prod/images/spicy-crab-rolls4-1654808938.jpg|6|False
9|Golden Gate Park Tour|1| Explore the vast and beautiful Golden Gate Park, home to many iconic landmarks like the Japanese Tea Garden, Conservatory of Flowers, and the De Young Museum.|English|10|9,13|1|False|8|https://img.theculturetrip.com/1440x807/smart/wp-content/uploads/2019/02/e8fne5.jpg|6|False
10|Alcatraz Island Tour|1|Take a ferry to Alcatraz Island and learn about the history of one of America's most notorious prisons. Walk through the prison cells and see where some of the most infamous criminals were held.|English|10|9,11|4|False|8|https://upload.wikimedia.org/wikipedia/commons/1/17/Alcatraz_2021.jpg|6|False
11|San Francisco Bay Cruise|1|Experience the beauty of San Francisco Bay on a scenic cruise. See the city skyline from the water, sail under the Golden Gate Bridge, and learn about the city's rich history and landmarks.|English|10|12,14|2|False|8|https://dynaimage.cdn.cnn.com/cnn/digital-images/org/560fbc6c-0957-4c8e-8519-6d8bbedcea24.jpg|6|False
